Close,High,Low,Open,Volume,target
148.98,155.19,146.02,155.19,64882700,1
145.42,146.09,142.51,145.74,71563614,1
146.59,147.45,145.15,147.16,33749154,0
145.16,147.5,143.84,147.5,31224203,0
144.29,144.4798,142.21,143.32,31348832,0
142.27,144.5,142.2,143.78,49180748,1
146.34,146.74,143.66,143.66,31449132,0
145.01,146.87,144.94,146.87,24572170,0
145.87,146.0693,144.61,145.52,21064679,0
145.63,146.7,145.1199,145.77,18673365,0
146.28,147.16,145.11,145.13,25997976,0
145.82,148.28,145.38,147.17,25524661,0
143.73,146.16,143.62,145.01,24423643,0
145.83,146.11,143.1601,144.49,21915939,0
143.68,145.13,142.28,144.71,31116980,0
144.02,144.96,143.78,144.45,22328979,0
143.5,145.3,143.1,144.88,14258300,0
144.09,144.79,142.7237,143.69,20758795,0
142.73,143.5,142.41,143.02,23374374,0
144.18,144.75,142.9,142.9,18505351,0
145.06,145.95,143.37,144.11,21030466,0
145.53,145.85,144.38,144.73,18311156,0
145.74,146.18,144.82,145.87,23617964,0
147.77,148.49,145.44,145.5,24922788,0
149.04,149.33,147.33,147.97,19961788,0
149.56,150.9,148.57,148.82,23243713,0
150.08,150.13,148.67,149.2,17713795,0
151.02,151.42,149.95,150.48,20615419,0
150.34,151.74,150.19,151.5,17053326,0
150.27,150.44,148.88,149.99,24671002,0
152.09,152.44,149.9,150.58,21122730,0
152.74,153.84,151.8,151.8,18612649,0
153.46,153.93,153.06,153.35,15172136,0
150.56,153.99,147.3,153.75,32175875,0
149.5,150.23,149.19,149.89,16832947,0
148.73,150.33,148.13,149.9,19422655,0
150.05,150.22,148.41,149.1,24725526,0
157.14,159.75,156.16,159.28,69222793,1
155.57,157.21,155.02,157.05,26000738,0
156.39,157.4,155.69,156.07,20349532,0
158.81,158.92,156.6701,157.06,21870321,0
160.08,161.83,158.27,158.6,35775675,0
161.059998,161.27,159.11,159.26,25640394,0
155.32,160,154.63,159.9,39081017,0
157.48,158.5728,156.07,156.6,25943187,0
159.85,160.21,158.75,159.32,21754810,0
161.6,162.195,160.14,160.66,27936774,0
160.95,162.51,160.15,161.94,27321761,0
157.86,160.71,157.84,160.52,26925694,0
157.5,159.5,156.72,157.86,27012525,0
157.21,157.89,155.1101,157.5,26145653,0
159.78,160,158.02,158.23,21297812,0
159.98,160.47,158.88,159.07,19198189,0
159.27,160.74,158.55,160.43,19029621,0
159.86,160.56,159.27,159.65,25015218,0
161.47,162,159.93,160.14,25279674,0
162.91,163.12,160,160.1,29307862,0
163.35,163.89,162.61,163.8,26973946,0
164,164.52,163.48,163.64,26412439,0
164.05,164.94,163.63,164.8,16508568,0
162.08,164.25,160.56,163.75,29317054,0
161.91,162.99,160.52,162.71,21179047,0
161.26,162.24,160.36,162.09,21722995,0
158.63,161.15,158.53,160.86,28183159,0
161.5,162.05,159.89,160.5,31028926,0
160.86,163.96,158.77,162.61,71139119,1
159.65,159.96,157.91,159.87,44393752,0
158.28,159.4,158.09,158.99,23073646,0
159.88,160.97,158,158.47,48203642,1
158.67,160.5,157.995,160.11,27939718,0
158.73,159.77,158.44,159.51,20347352,0
156.07,158.26,153.83,157.9,51693239,1
153.39,155.8,152.75,155.8,36643382,0
151.89,152.27,150.56,152.02,46114424,1
150.55,151.83,149.16,149.99,43922334,0
153.14,153.92,151.69,151.78,35470985,0
154.23,154.7189,153.54,153.8,24959552,0
153.28,154.28,152.7,153.89,21896592,0
154.12,154.13,152,153.21,25856530,0
153.81,154.45,152.72,154.26,18524860,0
154.48,155.09,153.91,154.01,16146388,0
153.48,153.86,152.46,153.63,19844177,0
155.39,155.44,154.05,154.18,21032800,0
155.3,155.49,154.56,154.97,16423749,0
155.84,156.73,155.485,155.81,16200129,0
155.9,158,155.1,156.055,15456331,0
156.55,156.98,155.75,155.97,16607693,0
156,157.37,155.7299,156.35,16045720,0
156.99,157.28,156.41,156.73,16287608,0
159.88,160,157.65,157.9,23894630,0
